name,quantity,unit,expiry
cream,35.0,grams,2025-08-24
cilantro,731.1,teaspoons,2025-08-24
chili flakes,344.8,grams,2026-01-07
tomato,137.7,teaspoons,2025-12-24
corn,803.6,ml,2025-09-23
vegetable oil,158.3,ml,2025-12-04
sugar,549.9,tablespoons,2025-11-30
baking powder,678.2,units,2025-12-21
lime juice,62.9,grams,2025-10-12
cinnamon,297.9,ml,2025-09-14
breadcrumbs,663.9,units,2025-10-05
kale,74.3,ml,2025-09-08
lentils,380.2,kg,2025-08-20
chickpeas,430.7,kg,2025-11-05
red wine vinegar,510.4,teaspoons,2025-10-10
milk,353.4,ml,2025-09-19
salt,391.9,grams,2025-11-08
mustard,497.2,l,2025-12-17
pasta,375.9,l,2025-10-29
raisins,711.0,l,2025-09-10
cabbage,361.1,l,2025-11-14
broccoli,756.6,kg,2025-12-14
tabasco,613.2,l,2025-08-20
olive oil,125.7,units,2025-12-09
almonds,758.6,units,2025-10-05
basil,167.0,teaspoons,2026-01-09
cashews,527.7,tablespoons,2025-09-01
mayonnaise,95.5,kg,2025-11-01
nutmeg,49.3,teaspoons,2025-08-09
kidney beans,824.3,kg,2025-10-14
instant coffee,203.3,ml,2025-10-20
ground beef,273.0,ml,2025-11-17
pear,174.6,units,2025-12-03
spinach,191.1,kg,2026-01-07
sesame seeds,661.3,l,2025-11-11
bread,750.5,l,2025-09-01
rice,919.3,tablespoons,2025-08-23
canola oil,379.7,kg,2025-12-16
tomato sauce,856.5,grams,2025-11-14
zucchini,101.8,kg,2025-12-21
walnuts,554.0,grams,2025-08-11
lettuce,692.8,tablespoons,2025-08-15
vanilla extract,933.1,ml,2025-08-06
soy sauce,500.4,tablespoons,2025-10-08
oregano,727.9,tablespoons,2026-01-01
vinegar,26.2,ml,2025-10-02
parmesan cheese,826.1,l,2025-11-08
figs,158.8,grams,2025-10-17
potatoes,853.6,teaspoons,2025-12-18
quinoa,476.2,units,2025-08-29
apple,356.2,ml,2025-10-14
hazelnuts,919.2,tablespoons,2025-12-10
rosemary,548.0,ml,2025-09-16
black pepper,497.5,teaspoons,2025-11-08
flour,932.9,teaspoons,2026-01-12
cheddar cheese,323.2,teaspoons,2025-08-13
green beans,661.3,units,2025-09-04
maple syrup,32.3,l,2025-08-16
mushrooms,60.8,l,2025-08-17
cucumber,848.4,teaspoons,2025-10-07
avocado,120.4,grams,2025-11-16
ketchup,223.8,tablespoons,2025-09-23
tofu,619.3,units,2025-08-05
orange,688.8,teaspoons,2025-08-31
garlic,361.8,ml,2025-12-04
dates,889.8,ml,2025-10-30
sunflower oil,792.5,l,2025-11-01
cream cheese,785.1,grams,2025-11-09
onion,312.5,l,2025-09-19
cumin,812.8,teaspoons,2025-10-14
yogurt,709.3,units,2025-11-03
chicken breast,241.5,units,2025-10-02
beef steak,544.1,l,2026-01-05
apple cider vinegar,801.7,teaspoons,2025-12-25
butter,607.3,teaspoons,2025-11-10
eggs,226.7,units,2025-11-01
black beans,723.7,ml,2025-09-20
mozzarella,881.0,grams,2025-08-19
cornstarch,551.7,teaspoons,2025-09-29
mint,523.3,teaspoons,2025-11-29
feta cheese,373.5,teaspoons,2025-10-05
banana,50.0,l,2025-08-12
cauliflower,828.1,kg,2025-09-02
turmeric,325.0,grams,2025-11-30
honey,112.7,ml,2025-12-24
coconut milk,263.3,l,2025-10-02
salmon,807.2,l,2025-09-20
peanut butter,847.3,l,2025-08-09
lemon juice,422.5,l,2025-10-29
ginger,329.4,l,2026-01-08
tempeh,210.1,grams,2025-11-29
thyme,71.0,units,2025-09-20
cocoa powder,902.6,l,2025-08-26
paprika,809.2,units,2025-09-15
bell pepper,821.0,grams,2025-10-18
tomato paste,733.1,ml,2025-09-28
